pagina	pregunta	respuesta
0012	tipo_entidad	La respuesta es h) Academia.
0012	origen_entidad	La respuesta es b) Internacional.
0012	proposito	La respuesta es d) Educar sobre el tema.
0012	informacion_presentada	La respuesta es a) Factual.
0012	vision	La respuesta es d) Otro. La visión de la corrupción presentada en el texto se centra en su carácter de fenómeno complejo y multifacético, que abarca conceptos como el abuso de poder, soborno, malversación y extorsión, así como su impacto en la democracia y el desarrollo económico. Esta visión destaca la naturaleza invisible e involucrada de la corrupción, que involucra a personas con poder e influencia, y subraya la importancia de la transparencia para combatirla. Esta perspectiva no se ajusta a las opciones a) y b) porque no se centra únicamente en el carácter sistémico o en delitos/casos/personas particulares, sino que aborda el problema de manera más amplia y compleja.
0012	consecuencias	La respuesta es c) Impunidad (falta de sanciones) de los actos de corrupción.
0012	que_muestra	La respuesta es c) Ambos.
0012	intencion	La respuesta es b) Tomar conciencia general del problema.
0012	localizacion_problema	La respuesta es b) Internacional (ejemplo: América Latina, global).
0012	involucrados	La respuesta es f) Funcionario público (con capacidad de decisión y mando).
0012	formalidad	La respuesta es a) Formal.
0012	nivel_educacion	La respuesta es b) Media-superior.
0012	tono	La respuesta es b) Negativo.
0012	emociones	La respuesta es h) Ninguna.
0012	tipo_entidad	La respuesta es h) Academia.
0012	origen_entidad	La respuesta es b) Internacional.
0012	proposito	La respuesta es d) Educar sobre el tema.
0012	informacion_presentada	La respuesta es a) Factual.
0012	vision	La respuesta es d) Otro.
0012	consecuencias	La respuesta es c) Impunidad (falta de sanciones) de los actos de corrupción.
0012	que_muestra	La respuesta es d) Ninguna de las anteriores.
0012	intencion	La respuesta es a) Conocer el diagnóstico de la situación de la corrupción.
0012	localizacion_problema	La respuesta es b) Internacional (ejemplo: América Latina, global)
0012	involucrados	La respuesta es b) Gobierno nacional.
0012	formalidad	La respuesta es a) Formal.
0012	nivel_educacion	La respuesta es b) Media-superior.
0012	tono	La respuesta es b) Negativo.
0012	emociones	h) Ninguna.
0012	tipo_entidad	La respuesta es h) Academia.
0012	origen_entidad	La respuesta es b) Internacional.
0012	proposito	La respuesta es d) Educar sobre el tema.
0012	informacion_presentada	La respuesta es a) Factual.
0012	vision	La respuesta es d) Otro.
0012	consecuencias	La respuesta es c) Impunidad (falta de sanciones) de los actos de corrupción.
0012	que_muestra	La respuesta es c) Ambos.
0012	intencion	La respuesta es a) Conocer el diagnóstico de la situación de la corrupción.
0012	localizacion_problema	La respuesta es b) Internacional (ejemplo: América Latina, global).
0012	involucrados	La respuesta es c) Empresas.
0012	formalidad	La respuesta es a) Formal.
0012	nivel_educacion	La respuesta es b) Media-superior (mayor a 11 años de edad).
0012	tono	La respuesta es b) Negativo.
0012	emociones	La respuesta es h) Ninguna.
0571	tipo_entidad	La respuesta es h) Academia.
0571	origen_entidad	La respuesta es a) Nacional.
0571	proposito	La respuesta es d) Educar sobre el tema.
0571	informacion_presentada	La respuesta es a) Factual.
0571	vision	La respuesta es d) Otro.
0571	consecuencias	La respuesta es a) Penas y sanciones legales.
0571	que_muestra	La respuesta es c) Ambos.
0571	intencion	La respuesta es a) Conocer el diagnóstico de la situación de la corrupción.
0571	localizacion_problema	La respuesta es b) Internacional.
0571	involucrados	La respuesta es c) Empresas.
0571	formalidad	La respuesta es a) Formal.
0571	nivel_educacion	La respuesta es b) Media-superior.
0571	tono	La respuesta es b) Negativo.
0571	emociones	La respuesta es h) Ninguna.
0571	tipo_entidad	La respuesta es h) Academia.
0571	origen_entidad	La respuesta es b) Internacional.
0571	proposito	e) Exponer una opinión.
0571	informacion_presentada	La respuesta es a) Factual.
0571	vision	La respuesta es d) Otro (especifica).
0571	consecuencias	d) No aplica El texto no menciona explícitamente las consecuencias de la corrupción, sino que parece ser una introducción o presentación del "Código de Lucha contra el Fraude y la Corrupción", que podría contener información sobre las consecuencias de la corrupción, pero no las menciona explícitamente en este contexto.
0571	que_muestra	La respuesta es d) Ninguna de las anteriores.
0571	intencion	La respuesta es b) Tomar conciencia general del problema.
0571	localizacion_problema	c) No aplica
0571	involucrados	La respuesta es b) Gobierno nacional (ejemplo: gobierno de España).
0571	formalidad	a) Formal
0571	nivel_educacion	La respuesta es b) Media-superior.
0571	tono	La respuesta es b) Negativo.
0571	emociones	La respuesta es h) Ninguna.
0571	tipo_entidad	La respuesta es h) Academia.
0571	origen_entidad	La respuesta es a) Nacional.
0571	proposito	d) Educar sobre el tema.
0571	informacion_presentada	a) Factual (datos concretos).
0571	vision	La respuesta es d) Otro (especifica).
0571	consecuencias	La respuesta es a) Penas y sanciones legales.
0571	que_muestra	La respuesta es d) Ninguna de las anteriores.
0571	intencion	La respuesta es b) Tomar conciencia general del problema.
0571	localizacion_problema	La respuesta es b) Internacional.
0571	involucrados	La respuesta es c) Empresas.
0571	formalidad	La respuesta es a) Formal.
0571	nivel_educacion	La respuesta es b) Media-superior (mayor a 11 años de edad).
0571	tono	La respuesta es b) Negativo.
0571	emociones	h) Ninguna
0200	tipo_entidad	La respuesta es b) Gobierno.
0200	origen_entidad	La respuesta es b) Internacional.
0200	proposito	La respuesta es d) Educar sobre el tema
0200	informacion_presentada	La respuesta es a) Factual.
0200	vision	La respuesta es d) Otro.
0200	consecuencias	La respuesta es b) Consecuencias no legales como castigo social o pérdida de estatus.
0200	que_muestra	La respuesta es d) Ninguna de las anteriores.
0200	intencion	La respuesta es b) Tomar conciencia general del problema.
0200	localizacion_problema	La respuesta es b) Internacional (ejemplo: América Latina, global).
0200	involucrados	La respuesta es c) Empresas.
0200	formalidad	La respuesta es a) Formal.
0200	nivel_educacion	La respuesta es b) Media-superior.
0200	tono	La respuesta es b) Negativo.
0200	emociones	La respuesta es h) Ninguna.
0200	tipo_entidad	La respuesta es b) Gobierno.
0200	origen_entidad	La respuesta es b) Internacional.
0200	proposito	La respuesta es d) Educar sobre el tema.
0200	informacion_presentada	La respuesta es a) Factual.
0200	vision	La respuesta es d) Otro (especifica).  La perspectiva de corrupción presente en el texto se centra en la idea de que la corrupción es un fenómeno complejo y tenaz que debilita la confianza de la ciudadanía y la legitimidad de las instituciones públicas, y que se traduce en la falta de inversión en infraestructuras, la insuficiencia de dotaciones y la pobreza.
0200	consecuencias	La respuesta es c) Impunidad (falta de sanciones) de los actos de corrupción.
0200	que_muestra	La respuesta es d) Ninguna de las anteriores.
0200	intencion	La respuesta es b) Tomar conciencia general del problema.
0200	localizacion_problema	La respuesta es b) Internacional (ejemplo: América Latina, global).
0200	involucrados	La respuesta es c) Empresas, d) Ciudadanos concretos, f) Funcionario público (con capacidad de decisión y mando).
0200	formalidad	La respuesta es a) Formal.
0200	nivel_educacion	La respuesta es b) Media-superior.
0200	tono	La respuesta es a) Positivo.
0200	emociones	La respuesta es g) Culpa.
0200	tipo_entidad	La respuesta es b) Gobierno.
0200	origen_entidad	La respuesta es b) Internacional.
0200	proposito	La respuesta es d) Educar sobre el tema.
0200	informacion_presentada	La respuesta es a) Factual.
0200	vision	La respuesta es d) Otro (especifica). En el texto, la corrupción se presenta como un fenómeno tenaz y complejo que debilita la confianza de la ciudadanía, la legitimidad de las instituciones públicas y socava su capacidad para cumplir su fin social. Se enfatiza su naturaleza opuesta a la función pública y al bien común, lo que la convierte en un flagelo que impide la construcción de caminos, puentes y servicios públicos, y perpetúa la pobreza y el desarrollo insuficiente. Esta visión de la corrupción como un problema estructural y sistémico es lo que se describe en el texto.
0200	consecuencias	La respuesta es b) Consecuencias no legales como castigo social o pérdida de estatus
0200	que_muestra	La respuesta es b) Problemas derivados de la corrupción.
0200	intencion	La respuesta es b) Tomar conciencia general del problema.
0200	localizacion_problema	La respuesta es b) Internacional (ejemplo: América Latina, global)
0200	involucrados	La respuesta es d) Ciudadanos concretos.
0200	formalidad	La respuesta es a) Formal.
0200	nivel_educacion	La respuesta es b) Media-superior.
0200	tono	La respuesta es a) Positivo.
0200	emociones	La respuesta es e) Sorpresa.
0394	tipo_entidad	La respuesta es b) Gobierno.
0394	origen_entidad	La respuesta es b) Internacional.
0394	proposito	La respuesta es d) Educar sobre el tema.
0394	informacion_presentada	La respuesta es a) Factual.
0394	vision	La respuesta es d) Otro.
0394	consecuencias	La respuesta es c) Impunidad (falta de sanciones) de los actos de corrupción.
0394	que_muestra	La respuesta es d) Ninguna de las anteriores.
0394	intencion	La respuesta es b) Tomar conciencia general del problema.
0394	localizacion_problema	La respuesta es b) Internacional (ejemplo: América Latina, global).
0394	involucrados	La respuesta es a) Gobierno local.
0394	formalidad	La respuesta es a) Formal.
0394	nivel_educacion	La respuesta es b) Media-superior.
0394	tono	La respuesta es a) Positivo.
0394	emociones	h) Ninguna
0394	tipo_entidad	La respuesta es b) Gobierno.
0394	origen_entidad	La respuesta es b) Internacional.
0394	proposito	La respuesta es d) Educar sobre el tema.
0394	informacion_presentada	La respuesta es a) Factual (datos concretos)
0394	vision	La respuesta es d) Otro.
0394	consecuencias	La respuesta es d) No aplica.
0394	que_muestra	La respuesta es c) Ambos.
0394	intencion	La respuesta es a) Conocer el diagnóstico de la situación de la corrupción.
0394	localizacion_problema	c) No aplica.
0394	involucrados	La respuesta es f) Funcionario público (con capacidad de decisión y mando).
0394	formalidad	La respuesta es a) Formal.
0394	nivel_educacion	La respuesta es b) Media-superior.
0394	tono	La respuesta es b) Negativo.
0394	emociones	h) Ninguna
0394	tipo_entidad	La respuesta es b) Gobierno.
0394	origen_entidad	La respuesta es b) Internacional.
0394	proposito	La respuesta es d) Educar sobre el tema.
0394	informacion_presentada	La respuesta es a) Factual.
0394	vision	La respuesta es d) Otro.
0394	consecuencias	La respuesta es d) No aplica.
0394	que_muestra	La respuesta es d) Ninguna de las anteriores.
0394	intencion	f) No aplica
0394	localizacion_problema	c) No aplica La pregunta se refiere a la perspectiva de corrupción, pero el texto proporcionado no se centra en una situación específica de corrupción en un país o región, sino que describe la estructura y misión de una institución gubernamental (Secretaría de Transparencia y Lucha Contra la Corrupción de Honduras) dedicada a prevenir y combatir la corrupción. Por lo tanto, la corrupción se presenta como un tema general o transversal, más que como un problema específico en un contexto nacional o internacional.
0394	involucrados	La respuesta es f) Funcionario público (con capacidad de decisión y mando).
0394	formalidad	La respuesta es a) Formal.
0394	nivel_educacion	La respuesta es b) Media-superior.
0394	tono	La respuesta es a) Positivo.
0394	emociones	La respuesta es e) Sorpresa.
0397	tipo_entidad	La respuesta es h) Academia.
0397	origen_entidad	La respuesta es b) Internacional.
0397	proposito	La respuesta es d) Educar sobre el tema.
0397	informacion_presentada	La respuesta es a) Factual.
0397	vision	La respuesta es d) Otro.
0397	consecuencias	La respuesta es c) Impunidad (falta de sanciones) de los actos de corrupción.
0397	que_muestra	La respuesta es c) Ambos.
0397	intencion	La respuesta es c) Tomar acciones frente al problema.
0397	localizacion_problema	La respuesta es c) No aplica.
0397	involucrados	La respuesta es d) Ciudadanos concretos y f) Funcionario público (con capacidad de decisión y mando)
0397	formalidad	La respuesta es a) Formal.
0397	nivel_educacion	La respuesta es b) Media-superior.
0397	tono	La respuesta es b) Negativo.
0397	emociones	La respuesta es h) Ninguna.
0397	tipo_entidad	La respuesta es h) Academia.
0397	origen_entidad	La respuesta es b) Internacional.
0397	proposito	La respuesta es d) Educar sobre el tema.
0397	informacion_presentada	La respuesta es a) Factual.
0397	vision	La respuesta es d) Otro.
0397	consecuencias	La respuesta es c) Impunidad (falta de sanciones) de los actos de corrupción.
0397	que_muestra	La respuesta es c) Ambos.
0397	intencion	La respuesta es a) Conocer el diagnóstico de la situación de la corrupción.
0397	localizacion_problema	La respuesta es a) Nacional.
0397	involucrados	La respuesta es c) Empresas.
0397	formalidad	La respuesta es a) Formal.
0397	nivel_educacion	La respuesta es b) Media-superior.
0397	tono	La respuesta es b) Negativo.
0397	emociones	La respuesta es h) Ninguna.
0397	tipo_entidad	La respuesta es h) Academia.
0397	origen_entidad	La respuesta es b) Internacional.
0397	proposito	La respuesta es d) Educar sobre el tema.
0397	informacion_presentada	La respuesta es a) Factual.
0397	vision	La respuesta es d) Otro (especifica).
0397	consecuencias	La respuesta es c) Impunidad (falta de sanciones) de los actos de corrupción.
0397	que_muestra	La respuesta es d) Ninguna de las anteriores.
