pagina	pregunta	respuesta
0012	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0012	tipo_entidad	La respuesta es c) Internacional.
0012	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0571	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0571	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0571	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0200	tipo_entidad	La respuesta es c) Internacional.
0200	tipo_entidad	La respuesta es c) Internacional.
0200	tipo_entidad	La respuesta es c) Internacional.
0394	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0394	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0394	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0397	tipo_entidad	La respuesta es d) No aplica.
0397	tipo_entidad	La respuesta es c) No aplica.
0397	tipo_entidad	La respuesta es c) No aplica.
0199	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0199	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0199	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0004	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0004	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0004	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0002	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0002	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0002	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0420	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0420	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0420	tipo_entidad	La respuesta es c) Internacional.
0587	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0587	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0587	tipo_entidad	La respuesta es c) Internacional.
0238	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0238	tipo_entidad	La respuesta es c) Internacional.
0238	tipo_entidad	La respuesta es b) Nacional.
0246	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0246	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0246	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0324	tipo_entidad	La respuesta es c) Internacional.
0324	tipo_entidad	La respuesta es c) Internacional.
0324	tipo_entidad	La respuesta es c) Internacional.
0444	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0444	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0444	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0059	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0059	tipo_entidad	La respuesta es c) Internacional.
0059	tipo_entidad	La respuesta es c) Internacional.
0489	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0489	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0489	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
